number	original_filename	statement_type	purpose
0201	0201_flooring_knowledge_shared_demo.sql	UPDATE	Removal and substrate must be shared across Carpet and Hard surface: 1. Demo ("what's coming up?") is the one typed tear-out question. 0142
0202	0202_flooring_knowledge_tile_carpet_prep.sql	INSERT+UPDATE	Remaining estimator branches that 0201 left open: 1. Moisture mitigation method (Aqua bar / primer) was asked on EVERY hard-
0203	0203_flooring_knowledge_radiant_tile_format.sql	INSERT+UPDATE	Remaining estimator branches: 1. Radiant heat is an install condition for carpet as well as hard surface
0204	0204_flooring_knowledge_grade_carpet.sql	UPDATE	Grade / location is relevant for glue-down carpet and carpet tile (slab, below-grade moisture) as well as hard surface. Stretch-in over wood does
0205	0205_flooring_knowledge_carpet_glue_climate.sql	UPDATE	Glue-down carpet uses carpet_install, not hard-surface install_method. 0190/0200 gated acclimation, moisture_test, and moisture_mitigation on
0206	0206_flooring_knowledge_shared_prep.sql	UPDATE	Floor prep is one shared tail (0142): the carpet duplicate was switched off and hs_prep / prep_scope were opened to Carpet + Hard surface. The knowledge
0207	0207_flooring_knowledge_bond_site.sql	UPDATE	Removal and site conditions the estimator always needs, without a second price: 1. Glued vs floating (existing_bond) is only about tearing up LVP / laminate /
0208	0208_flooring_knowledge_stretch_pad.sql	UPDATE	Stretch-in carpet accessories were still SQL-gated on "Carpet" only: 1. Tack strip (0192) had overlay systems stretch_in, but show_if was every
0209	0209_flooring_knowledge_mixed_install.sql	UPDATE	Mixed hard-surface jobs (LVP + hardwood, laminate + tile, …) were forced through ONE install_method chip. Picking Floating hid fasteners; picking
0210	0210_flooring_knowledge_metals_entry.sql	INSERT+UPDATE	Carpet doorway metals were a Yes/No with unkeyed type/color follow-ups, so the estimator never captured HOW MANY transitions. Site access (lockbox /
0211	0211_flooring_knowledge_tack_lnft.sql	INSERT+UPDATE	Tack strip was keep / replace / TBD with no quantity. An estimator who picks Replace still needs linear feet for purchasing — never square feet.
0212	0212_flooring_knowledge_adhesive_qty.sql	UPDATE	Adhesive is a catalog product pick (gallons / kits / pails). The Guided Estimate used to write taped room square feet onto that line as quantity —
0213	0213_flooring_knowledge_carpet_tile.sql	UPDATE	Carpet tile is modular / boxed, not broadloom roll goods. Catalog category stays `carpet` — do not invent a carpet-tile category.
0214	0214_flooring_knowledge_carpet_tile_stairs.sql	INSERT+UPDATE	Carpet tile stairs are not waterfall / upholstered wrap. Stretch-in and glue-down broadloom still use the existing stair-type
0215	0215_flooring_knowledge_cut_width.sql	UPDATE	Roll-goods cuts: an empty width is not a 12-foot (carpet) or 6-foot (sheet vinyl) roll. The salesperson must enter or chip a width, or the
0216	0216_flooring_knowledge_roll_tbd_sku.sql	UPDATE	Roll-goods SKU without cuts: Builder still receives the product identity with order TBD. Do not drop the pick, do not invent sq ft ÷ 9, and do not
0217	0217_flooring_knowledge_hs_stair_units.sql	UPDATE	Hard-surface stairs: step count is EACH/step. Stair noses, treads, and risers stay on Trims. Do not invent 8 sq ft (tread+riser) or 4 sq ft
0218	0218_flooring_knowledge_tile_not_room_cut.sql	UPDATE	Floor-map room L×W is measured area. Exclusive carpet tile is modular: stuffing a 12'×14' room onto length_in/width_in is not a warehouse cut.
0219	0219_flooring_knowledge_builder_tile_coverage.sql	UPDATE	Exclusive carpet tile is modular coverage in Builder, not a warehouse cut plan. Cuts vs Roll stays on broadloom / sheet vinyl. Carton math only when
0220	0220_flooring_knowledge_install_rate.sql	UPDATE	Install labor is the Settings rate on the floor-map / cuts question (or the product's own labor rate). Application code must not invent $6/yd or $2/ft.
0221	0221_flooring_knowledge_trim_price.sql	UPDATE	Trim chips name the accessory and its unit (lnft vs each). They do not plant a hidden $1/lnft or $45/nose. Extra roll-goods products stay order TBD —
0222	0222_flooring_knowledge_roll_qty.sql	UPDATE	Roll goods without warehouse cuts: measured square feet is not an order. Pricing uses entered cuts or an explicit quantity override — never sq ft ÷ 9.
0223	0223_flooring_knowledge_piece_length.sql	UPDATE	Trim sold by the piece converts a measured run into sticks only when the product actually has piece_length_in. Missing length stays TBD — we do not
0224	0224_flooring_knowledge_billing_unit.sql	UPDATE	Leftover measure_unit is not the billing unit. Catalog SY rates convert from the printed line unit (sq yd vs sq ft), never a stray "sqft" on a yard line.
0225	0225_flooring_knowledge_stair_allowance.sql	UPDATE	Carpet stairs: step labor is EACH. We do not invent 6/8 sq ft of carpet per step as an order — include stairs in the cut list. A Settings carpet_sqft
0226	0226_flooring_knowledge_selflevel_pour.sql	UPDATE	Self-leveler pour thickness is the Settings default, else the coverage reference. We do not invent 1/4". Count-unit emits never take taped sq ft
0227	0227_flooring_knowledge_subfloor_sheet.sql	UPDATE	Subfloor sheets: round up from measured sq ft ÷ Settings sheet_sqft. Missing sheet_sqft is TBD — we do not invent a 4×8 (32 sq ft) sheet.
0228	0228_flooring_knowledge_order_cut_width.sql	ALTER	Customer / portal orders: an empty cut width is not a 12' roll, and a missing unit is not square yards. Warehouse cut labels stay TBD until a
0229	0229_flooring_knowledge_tile_bags.sql	UPDATE	Tile setting materials are catalog bags, not taped square feet. Thinset / grout stay TBD until a product with coverage is picked. Customer order
0230	0230_flooring_knowledge_count_qty.sql	UPDATE	Count units (each / bag / lnft / sheet) do not invent a quantity of 1 when Builder switches Price per off area, when a count SKU is picked onto an
0231	0231_flooring_knowledge_cut_width_init.sql	UPDATE	Opening a carpet or sheet-vinyl cut list does not plant 12' (carpet) or 6' (vinyl) as the first cut width. Catalog roll_width_ft may fill the
0232	0232_flooring_knowledge_each_qty.sql	UPDATE	Yes/No (or choice) emits billed EACH / LN FT without a typed Amount do not invent a quantity of 1. Number questions still pass the count. Flat job
0233	0233_flooring_knowledge_unit_tbd.sql	UPDATE	Missing unit metadata is unit TBD, not invented "each". Questionnaire emits, Builder add-ons, catalog snapshots, stock POs, and customer-order
0234	0234_flooring_knowledge_review_units.sql	UPDATE	Guided Review always lists MEASURED area, WASTE, ORDER quantity, BILLING quantity, and UNIT of measure as separate facts. Taped sq ft is never a
0235	0235_flooring_knowledge_product_unit.sql	UPDATE	Picking a catalog SKU that forgot its unit does not plant sq ft. Carpet and sheet vinyl still default to sq yd; boxed hard surface still defaults to
0236	0236_flooring_knowledge_other_unit.sql	UPDATE	Adding an Other / adhesive product does not plant sq ft as the sold-by unit. Floor-map "fill empty rooms" uses the job's flooring family, not a default LVP.
0237	0237_flooring_knowledge_stair_wrap.sql	UPDATE	Hard-surface stair wrap product picker uses this job's flooring family. Hardwood stairs do not plant LVP. Mixed jobs leave category TBD instead of
0238	0238_flooring_knowledge_mixed_takeoff.sql	UPDATE	Mixed jobs do not clone whole-job taped sq ft onto every family. Carpet rooms keep carpet measured area; LVP rooms keep LVP. Unassigned mixed
0239	0239_flooring_knowledge_mixed_emit.sql	UPDATE	Builder emit, pad, self-leveler bags, subfloor sheets, and the running takeoff strip use the same per-family measured area as Review. Mixed
0240	0240_flooring_knowledge_prep_area.sql	UPDATE	Area-based prep labor (self-level / skim / moisture) follows hard-surface rooms on a mixed job — the same split as self-leveler bags. Demo / haul
0241	0241_flooring_knowledge_room_prep.sql	UPDATE	Per-room prep is this room's measured sq ft — not the whole mixed job. Kitchen 200 sq ft of LVP is not 550 sq ft of self-level on the carpet too.
0242	0242_flooring_knowledge_mixed_unassigned.sql	UPDATE	Mixed carpet + LVP (or any 2+ families) with measured rooms but no floor-map assignment used to silently takeoff 0. Review now warns: assign each room
0243	0243_flooring_knowledge_adhesive_qty_ui.sql	UPDATE	Adhesive / other / labor / trim lines with no sold-by unit are COUNT in Builder (How many / Unit TBD), not the Sq ft field. Taped square feet is
0244	0244_flooring_knowledge_pad_count_ui.sql	UPDATE	Pad / underlayment with no sold-by unit is COUNT in Builder (How many / Unit TBD), not the Sq ft field. Pricing uses the same count-vs-area rule
0245	0245_flooring_knowledge_hardwood_finish.sql	INSERT+UPDATE	Hardwood prefinished vs unfinished (site finish) is SCOPE, not a price. Catalog has no sand/finish labor — do not invent one. Overlay families
0246	0246_flooring_knowledge_stair_wrap_qty.sql	UPDATE	Hard-surface stair wrap is extra boxes / EACH, never taped square feet. Questionnaire emit strips an area sold-by unit so typing 13×8 sq ft in
0247	0247_flooring_knowledge_work_type.sql	INSERT+UPDATE	New construction vs replacement. Positive "New construction" hides tear-out (demo, existing pad, bond, asbestos, disposal). Unanswered keeps demo
0248	0248_flooring_knowledge_wet_area.sql	INSERT+UPDATE	Wet area (bath / laundry / mudroom) is SCOPE/WARNING. Catalog has no waterproof column — confirm the product, do not invent a SKU or a ban.
0249	0249_flooring_knowledge_builder_measured.sql	UPDATE	Builder roll goods without warehouse cuts: leftover sq ft is MEASURED area, not the order. Label it "Measured sq ft (not the order)". Sq ft ÷ 9
0250	0250_flooring_knowledge_existing_pad.sql	UPDATE	Existing pad follows EXISTING carpet, not only a new-carpet job. Tearing carpet out for LVP / hardwood / laminate / tile / sheet vinyl still
0251	0251_flooring_knowledge_cuts_panel.sql	UPDATE	Builder warehouse-cuts panel is the ORDER, not taped room square feet. Empty cuts show "Order TBD — not measured sq ft" instead of "0 sq ft".
0252	0252_flooring_knowledge_cuts_tbd.sql	UPDATE	Guided Estimate cut totals: empty width × length is Order TBD, not 0 sq yd. Measured room square feet ÷ 9 is not an order. Do not plant 12'.
0253	0253_flooring_knowledge_existing_tack.sql	INSERT+UPDATE	Existing tack strip follows EXISTING carpet, not only new stretch-in. Tearing carpet out for LVP / hardwood / laminate / tile / sheet vinyl still
0254	0254_flooring_knowledge_wall_tile.sql	UPDATE	Exclusive wall tile hides floor-only follow-ups (toilets, vents, door shaves, floor stairs, construction grade, radiant heat) in the overlay.
0255	0255_flooring_knowledge_wall_floor.sql	UPDATE	Exclusive wall tile also hides floor doorway T-molds, 4×8 subfloor sheets, self-leveler bags, slab vapor barrier, and aqua-bar mitigation. Unanswered
0256	0256_flooring_knowledge_vacant_furniture.sql	UPDATE	Vacant occupancy hides furniture moving (light/medium/heavy and specialty items). Empty house — do not invent a furniture charge. Occupied and
0257	0257_flooring_knowledge_new_build_skim.sql	UPDATE	New construction hides existing-vinyl skim. There is no existing vinyl to skim. Replacement and unanswered still ask. Do NOT SQL-gate vinyl_skim on work_type
0258	0258_flooring_knowledge_new_build_toilets.sql	UPDATE	New construction hides toilet pull & reset. There is no existing toilet to pull. Replacement and unanswered still ask. Appliances and door shaves stay.
0259	0259_flooring_knowledge_climate_sot.sql	UPDATE	Climate, radiant, and moisture-untested warnings live on the overlay (knowledgeWarnings), not a second questionnaire list. New-construction
0260	0260_flooring_knowledge_wall_moisture.sql	UPDATE	Exclusive wall tile hides slab moisture tests. Aqua-bar mitigation is already hidden (0255); asking whether the slab was tested while hiding the
0261	0261_flooring_knowledge_wall_prep.sql	UPDATE	Exclusive wall tile still asks Floor prep (showers skim). Self-leveling and grinding chips are floor pours — hide them on wall-only jobs so a new
0262	0262_flooring_knowledge_carpet_tile_layout.sql	UPDATE	Exclusive carpet tile is modular / boxed, not a roll cut plan. Pattern match, inches of repeat, and seam/direction notes are broadloom layout. Hide them
0263	0263_flooring_knowledge_wall_subfloor.sql	UPDATE	Exclusive wall tile still asked whether the FLOOR is flat / uneven / cracked. That is not a backsplash question, and leftover Uneven + Patch/skim fired a
0264	0264_flooring_knowledge_wall_stairs.sql	UPDATE	Exclusive wall tile still asked about stairs, landings, and open sides. hs_plank_stairs was already hidden, but the generic stair gate and its
0265	0265_flooring_knowledge_wall_demo.sql	UPDATE	Exclusive wall tile still offered floor demo chips (carpet / LVP / hardwood / sheet vinyl / luan) on "what's coming up?". Those are not a backsplash.
0266	0266_flooring_knowledge_wall_furniture.sql	UPDATE	Exclusive wall tile still asked light/medium/heavy furniture moving. A backsplash is not a furniture-moving job. Hide furniture_level and
0267	0267_flooring_knowledge_solid_floating.sql	UPDATE	Solid hardwood is typically nail, staple, or glue — not a click floor. Unanswered install method still asked attached pad / underlayment /
0268	0268_flooring_knowledge_tile_vapor.sql	UPDATE	Exclusive tile (floor or wall) still asked the 6-mil vapor-barrier question once substrate was Concrete. Thinset / mortar is not a
0269	0269_flooring_knowledge_vapor_underlayment.sql	UPDATE	Glue-down, carpet tile, nail-down, and stretch-in still offered "Included with underlayment" on the vapor-barrier question. That chip
0270	0270_flooring_knowledge_concrete_sheets.sql	UPDATE	Exclusive Concrete still asked for 4×8 plywood overlay sheets. A slab is patch / self-level, not a wood-deck repair. Hide subfloor_needed
0271	0271_flooring_knowledge_carpet_tile_vapor.sql	UPDATE	Exclusive carpet tile over Concrete still asked the 6-mil click-floor vapor-barrier question and skipped acclimation / moisture / Aqua bar.
0272	0272_flooring_knowledge_wood_moisture.sql	UPDATE	Exclusive hardwood nail/staple/floating over plywood still asked the slab moisture test and Aqua bar. 0190: moisture test is glue-down or wood over
0273	0273_flooring_knowledge_sole_leftover.sql	UPDATE	Leftover install_method chips on a sole-system family still switched follow-ups: Glue-down on laminate opened adhesive and hid expansion;
0274	0274_flooring_knowledge_carpet_hs_leftover.sql	UPDATE	Carpet-only leftover Floating / Glue-down (hard-surface install_method) still switched overlay systems: stretch-in opened expansion and
0275	0275_flooring_knowledge_glue_wood_vapor.sql	UPDATE	Exclusive glue-down over plywood still asked the 6-mil click-floor vapor sheet. You cannot glue to 6-mil poly — Aqua bar stays on moisture
0276	0276_flooring_knowledge_glue_wood_aqua.sql	UPDATE	Exclusive glue-down / carpet tile over plywood still asked Aqua bar. Aqua bar is a slab coating — not a wood-deck primer. Hide
0277	0277_flooring_knowledge_underlayment_cover.sql	UPDATE	Unkeyed product questions with category underlayment treated mixed-job cover as carpet rooms. Laminate foam is not carpet pad. Keyed carpet_pad
0278	0278_flooring_knowledge_underlayment_units.sql	UPDATE	Catalog category underlayment is pad yards (SQYD_CATEGORIES). Laminate / LVP foam is the same category but bills by the square foot. Guided Estimate uses
0279	0279_flooring_knowledge_bulk_pickup.sql	UPDATE	Bulk pickup day was UUID-only (0142). Overlay, review, and new-construction hide could not attach. Key it as bulk_pickup. New construction hides it with
0280	0280_flooring_knowledge_wall_climate.sql	UPDATE	Exclusive wall tile still asked site AC/heat and acclimation. A backsplash is not a hardwood acclimation job. Hide climate_control and acclimation on
0281	0281_flooring_knowledge_legacy_climate.sql	UPDATE	0142 merged AC and heat into climate_control, but leftover ac_available / heat_available keys still sat on the overlay (no families/systems), so
0282	0282_flooring_knowledge_legacy_curb.sql	UPDATE	0142 merged Placed on the curb into demo_disposal, but leftover carpet_curb still sat on the overlay (carpet family), so every carpet job listed it.
0283	0283_flooring_knowledge_carpet_install_method.sql	UPDATE	Exclusive carpet still listed the hard-surface Install method picker on overlay walks. Stretch-in / glue-down / carpet tile stay on Carpet install.
0284	0284_flooring_knowledge_carpet_surface.sql	UPDATE	Exclusive carpet still listed Surface type (the hard-surface family picker) on overlay walks. LVP / hardwood / laminate / tile / sheet vinyl are not a
0285	0285_flooring_knowledge_carpet_surface_leftover.sql	UPDATE	Leftover Surface type (Hardwood / LVP / …) on exclusive carpet still unioned hard-surface families, so overlay asked finish, fasteners, vapor,
0286	0286_flooring_knowledge_hs_carpet_leftover.sql	UPDATE	Leftover Carpet install (Glue-down / Carpet tile / Stretch-in) on exclusive hard surface still unioned carpet systems, so overlay asked adhesive,
0287	0287_flooring_knowledge_extra_pad_measured.sql	UPDATE	Additional pad for a specific area (stairs, landing) was labeled Area / sq ft, so a salesperson could type a roll or billing yards into measured
0288	0288_flooring_knowledge_dead_stair_gate.sql	UPDATE	Generic Stairs yes/no is a leftover synthesizer. Live stair questions are Carpet stairs, Carpet tile stairs, and hard-surface plank stairs.
0289	0289_flooring_knowledge_carpet_tile_metals.sql	UPDATE	Exclusive carpet tile still asked gripper / flat metals. Those are binder bars for roll goods, not modular tile. Overlay hides metals_needed plus
0290	0290_flooring_knowledge_glue_existing_vapor.sql	UPDATE	Exclusive glue-down over Existing flooring still asked the 6-mil click-floor vapor sheet and Aqua bar. You glue to the existing floor or tear it out —
0291	0291_flooring_knowledge_wood_deck_vapor.sql	UPDATE	Exclusive floating over plywood still asked the 6-mil click-floor vapor sheet. 6-mil is a slab sheet, not a wood-deck underlayment. Hide
0292	0292_flooring_knowledge_existing_floor_vapor.sql	UPDATE	Exclusive floating over Existing flooring still asked the 6-mil click-floor vapor sheet. 6-mil is a slab sheet, not an existing-floor underlayment.
0293	0293_flooring_knowledge_dead_stair_followups.sql	UPDATE	Generic Stairs yes/no is overlay-hidden once family-specific stairs are live. Landings / open sides still required leftover stairs=Yes, so
0294	0294_flooring_knowledge_pad_takeoff.sql	UPDATE	Catalog underlayment maps to family other, so pad / foam never reached Review takeoff. Show measured area vs billing quantity (pad yards, foam
0295	0295_flooring_knowledge_existing_floor_aqua.sql	UPDATE	Aqua bar is a slab coating. Exclusive glue / carpet tile over existing flooring already hid it (0290). Exclusive hardwood nail / staple /
0296	0296_flooring_knowledge_new_build_furniture.sql	UPDATE	Furniture moving is for occupied replacement floors. Vacant already hides it. Exclusive new construction still asked light/medium/heavy and piano /
0297	0297_flooring_knowledge_loose_lay_vapor.sql	UPDATE	6-mil click-floor vapor is a floating / glue sheet. Exclusive loose-lay still asked for it over concrete. Loose-lay is not a click-floor sheet
0298	0298_flooring_knowledge_non_vinyl_skim.sql	UPDATE	Existing-vinyl skim is for embossed vinyl, not every sheet-vinyl job. Exclusive carpet / LVP / hardwood / ceramic / luan tear-out still asked
0299	0299_flooring_knowledge_illegal_leftover.sql	UPDATE	Leftover illegal install chips were switching overlay follow-ups. Exclusive solid hardwood leftover Floating hid fasteners and adhesive that unanswered
0300	0300_flooring_knowledge_lvp_fasteners.sql	UPDATE	Hardwood fasteners are nail / staple. Exclusive LVP still asked them once leftover Nail-down passed SQL show_if, and live 0191 knowledge_when is
0301	0301_flooring_knowledge_non_carpet_pad.sql	UPDATE	Existing pad and tack follow OLD carpet. Installing new carpet still asked them once leftover families carpet kept the overlay open, even after demo
0302	0302_flooring_knowledge_none_disposal.sql	UPDATE	Haul-away / dumpster / curb and bulk pickup still asked after demo was exclusive None. Nothing is coming up, so there is nothing to dispose.
0303	0303_flooring_knowledge_tile_install_method.sql	UPDATE	Exclusive tile still listed the hard-surface Install method picker. Thinset lives on Tile setting — not Floating / Glue-down / Nail-down.
0304	0304_flooring_knowledge_extra_pad_tbd.sql	UPDATE	Extra pad / foam with no sold-by unit still required typing measured sq ft then discarded it on the count TBD path. A pad SKU with no sold-by unit is
0305	0305_flooring_knowledge_extra_leftover_sqft.sql	UPDATE	Extra pad / foam with a count or TBD sold-by unit still carried leftover typed square feet onto Review takeoff as pad yards / foam feet. Review
0306	0306_flooring_knowledge_extra_count_qty.sql	UPDATE	Extra pad / foam sold by roll / each / gal still emitted as silent TBD with no quantity. A pad SKU with a count unit asks How many in that unit
0307	0307_flooring_knowledge_extra_count_review.sql	UPDATE	Extra pad / foam sold by roll / each / gal asked How many (0306) but Review still skipped the extra because leftover taped sq ft is not pad yards.
0308	0308_flooring_knowledge_main_pad_count.sql	UPDATE	Main pad / foam sold by roll / each / gal still converted room square feet into Review pad yards (or foam feet). Count / TBD main SKUs skip
0309	0309_flooring_knowledge_main_count_qty.sql	UPDATE	Main pad / foam / adhesive sold by roll / each / gal still emitted as silent TBD and the pad question still showed room sq ft as takeoff
0310	0310_flooring_knowledge_stair_wrap_qty.sql	UPDATE	Hard-surface stair wrap extra boxes were still silent wrap qty TBD even when the wrap SKU is sold by the box / each / roll. A count wrap SKU
0311	0311_flooring_knowledge_prep_count_review.sql	UPDATE	Self-level bags and subfloor sheets were derived from measured area but stayed off Review, so taped square feet looked like the order. Review
0312	0312_flooring_knowledge_boxed_carton_area.sql	UPDATE	A boxed LVP / hardwood SKU sold by the carton with catalog coverage still takeoffs from measured area. Carton math uses sqft_per_box — we do not
0313	0313_flooring_knowledge_carpet_tile_carton.sql	UPDATE	Exclusive carpet tile sold by the carton with catalog coverage still takeoffs from measured area (sq yd + carton math). Leftover taped sq ft
0314	0314_flooring_knowledge_carton_tbd_review.sql	UPDATE	Review was still printing taped square feet as the order when a boxed LVP / hardwood / carpet-tile SKU is sold by the carton but coverage is
0315	0315_flooring_knowledge_carton_tbd_builder.sql	UPDATE	Builder was still treating carton-coverage TBD flooring lines as AREA (category stays lvp / hardwood / carpet). Leftover taped sq ft must not
0316	0316_flooring_knowledge_count_tbd_builder.sql	UPDATE	Builder was still treating main / extra count SKU and qty TBD flooring lines as AREA because category stays lvp / hardwood / carpet. Leftover
0317	0317_flooring_knowledge_pick_boxed_area.sql	UPDATE	Picking a boxed LVP / hardwood SKU in Builder planted catalog unit box as How many and stripped wrap / carton-coverage TBD / qty TBD stamps, so
0318	0318_flooring_knowledge_po_carton_count.sql	UPDATE	Picking a boxed wrap / carton-coverage TBD / qty TBD SKU copied sq ft/box onto a How many line, so PO / warehouse / work-order carton math treated
0319	0319_flooring_knowledge_hydrate_count_sqft.sql	UPDATE	Reloading Builder recovered wrap How many into sqft when the wrap SKU had an empty / area unit (isAreaUnit("") is true). Builder hydrate does not
0320	0320_flooring_knowledge_unit_tbd_hydrate.sql	UPDATE	Reloading Builder recovered Unit TBD adhesive / pad / AI addon How many into sqft because empty unit is treated as area globally. Builder hydrate
0321	0321_flooring_knowledge_customer_identity.sql	UPDATE	Customer / invoice / portal copy strips wrap / carton-coverage TBD / qty TBD / order TBD identity — those stamps stay on stored lines so Builder / PO / WO / hydrate still skip leftover taped sq ft. Customer copy is the p
0322	0322_flooring_knowledge_unit_tbd_qty.sql	UPDATE	Pricing does not treat leftover planted sqft as measured area on Unit TBD (empty unit) count lines — leftover quantity is How many, not taped square feet. 0320 hydrate cleared leftover sqft on Builder reload; invoice / w
0323	0323_flooring_knowledge_customer_notes.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0324	0324_flooring_knowledge_customer_takeoff.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0325	0325_flooring_knowledge_customer_rooms.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0326	0326_flooring_knowledge_customer_line_notes.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0327	0327_flooring_knowledge_customer_uncertainty.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0328	0328_flooring_knowledge_mixed_new_build.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0329	0329_flooring_knowledge_customer_prep_confidence.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0330	0330_flooring_knowledge_customer_site_prep.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0331	0331_flooring_knowledge_customer_stair_steps.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0332	0332_flooring_knowledge_customer_prep_suffix.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0333	0333_flooring_knowledge_customer_line_steps.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0334	0334_flooring_knowledge_customer_review_headers.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0335	0335_flooring_knowledge_customer_review_buckets.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0336	0336_flooring_knowledge_customer_review_steps.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0337	0337_flooring_knowledge_customer_stair_types.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0338	0338_flooring_knowledge_customer_count_qty.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0339	0339_flooring_knowledge_customer_dash_qty.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0340	0340_flooring_knowledge_customer_bare_qty.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0341	0341_flooring_knowledge_customer_dimensions.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
